uct_time,launch_name,payloads,rocket_name,rocket_boosters,rocket_height,rocket_diameter,rocket_mass,launchpad_name,launchpad_region,launchpad_geo,landpad,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
2006-03-24T22:30:00.000Z,FalconSat,"[{'type': 'Satellite', 'mass': 20, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,30146.0,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Failure
2007-03-21T01:10:00.000Z,DemoSat,"[{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,30146.0,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Failure
2008-08-03T03:34:00.000Z,Trailblazer,"[{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}, {'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Failure
2008-09-28T23:15:00.000Z,RatSat,"[{'type': 'Satellite', 'mass': 165, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Success
2009-07-13T03:35:00.000Z,RazakSat,"[{'type': 'Satellite', 'mass': 200, 'orbit': 'LEO'}]",Falcon 1,0,22.25,1.68,30146.0,Kwajalein Atoll,Marshall Islands,"(9.0477206, 167.7431292)",,,,,"(nan, nan)",Success
2010-06-04T18:45:00.000Z,Falcon 9 Test Flight,"[{'type': 'Dragon Boilerplate', 'mass': None, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2010-12-08T15:43:00.000Z,COTS 1,"[{'type': 'Dragon 1.0', 'mass': None, 'orbit': 'LEO'}, {'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 9,0,70.0,,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2012-05-22T07:44:00.000Z,COTS 2,"[{'type': 'Dragon 1.0', 'mass': 525, 'orbit': 'LEO'}]",Falcon 9,0,,,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2012-10-08T00:35:00.000Z,CRS-1,"[{'type': 'Dragon 1.0', 'mass': 4700, 'orbit': 'ISS'}, {'type': 'Dragon 1.0', 'mass': 400, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2013-03-01T19:10:00.000Z,CRS-2,"[{'type': 'Dragon 1.0', 'mass': 4877, 'orbit': 'ISS'}]",Falcon 9,0,,3.7,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2013-09-29T16:00:00.000Z,CASSIOPE,"[{'type': 'Satellite', 'mass': 500, 'orbit': 'PO'}]",Falcon 9,0,,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,,Ocean,,"(nan, nan)",Success
2013-12-03T22:41:00.000Z,SES-8,"[{'type': 'Satellite', 'mass': 3170, 'orbit': 'GTO'}]",Falcon 9,0,,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2014-01-06T18:06:00.000Z,Thaicom 6,"[{'type': 'Satellite', 'mass': 3325, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2014-04-18T19:25:00.000Z,CRS-3,"[{'type': 'Dragon 1.1', 'mass': 2296, 'orbit': 'ISS'}]",Falcon 9,0,,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,Ocean,,"(nan, nan)",Success
2014-07-14T15:15:00.000Z,OG-2 Mission 1,"[{'type': 'Satellite', 'mass': 1316, 'orbit': 'LEO'}]",Falcon 9,0,,,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,Ocean,,"(nan, nan)",Success
2014-08-05T08:00:00.000Z,AsiaSat 8,"[{'type': 'Satellite', 'mass': 4535, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2014-09-07T05:00:00.000Z,AsiaSat 6,"[{'type': 'Satellite', 'mass': 4428, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2014-09-21T05:52:00.000Z,CRS-4,"[{'type': 'Dragon 1.1', 'mass': 2216, 'orbit': 'ISS'}]",Falcon 9,0,,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,Ocean,,"(nan, nan)",Success
2015-01-10T09:47:00.000Z,CRS-5,"[{'type': 'Dragon 1.1', 'mass': 2395, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,JRTI-1,ASDS,Florida,"(28.4104, -80.6188)",Success
2015-02-11T23:03:00.000Z,DSCOVR,"[{'type': 'Satellite', 'mass': 570, 'orbit': 'ES-L1'}]",Falcon 9,0,,,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,Ocean,,"(nan, nan)",Success
2015-03-02T03:50:00.000Z,ABS-3A / Eutelsat 115W B,"[{'type': 'Satellite', 'mass': 4159, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2015-04-14T20:10:00.000Z,CRS-6,"[{'type': 'Dragon 1.1', 'mass': 1898, 'orbit': 'ISS'}]",Falcon 9,0,,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,JRTI-1,ASDS,Florida,"(28.4104, -80.6188)",Success
2015-04-27T23:03:00.000Z,TürkmenÄlem 52°E / MonacoSAT,"[{'type': 'Satellite', 'mass': 4707, 'orbit': 'GTO'}]",Falcon 9,0,70.0,,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2015-06-28T14:21:00.000Z,CRS-7,"[{'type': 'Dragon 1.1', 'mass': 1952, 'orbit': 'ISS'}]",Falcon 9,0,,3.7,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Failure
2015-12-22T01:29:00.000Z,OG-2 Mission 2,"[{'type': 'Satellite', 'mass': 2034, 'orbit': 'LEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
2016-01-17T15:42:00.000Z,Jason 3,"[{'type': 'Satellite', 'mass': 553, 'orbit': 'PO'}]",Falcon 9,0,,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2016-03-04T23:35:00.000Z,SES-9,"[{'type': 'Satellite', 'mass': 5271, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2016-04-08T20:43:00.000Z,CRS-8,"[{'type': 'Dragon 1.1', 'mass': 3136, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2016-05-06T05:21:00.000Z,JCSAT-2B,"[{'type': 'Satellite', 'mass': 4696, 'orbit': 'GTO'}]",Falcon 9,0,,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2016-05-27T21:39:00.000Z,Thaicom 8,"[{'type': 'Satellite', 'mass': 3100, 'orbit': 'GTO'}]",Falcon 9,0,,,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,,"(33.7291858, -118.262015)",Success
2016-06-15T14:29:00.000Z,ABS-2A / Eutelsat 117W B,"[{'type': 'Satellite', 'mass': 3600, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,,"(33.7291858, -118.262015)",Success
2016-07-18T04:45:00.000Z,CRS-9,"[{'type': 'Dragon 1.1', 'mass': 2257, 'orbit': 'ISS'}]",Falcon 9,0,70.0,,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,LZ-1,RTLS,,"(28.485833, -80.544444)",Success
2016-08-14T05:26:00.000Z,JCSAT-16,"[{'type': 'Satellite', 'mass': 4600, 'orbit': 'GTO'}]",Falcon 9,0,70.0,,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2016-09-01T13:07:00.000Z,Amos-6,"[{'type': 'Satellite', 'mass': 5500, 'orbit': 'GTO'}]",Falcon 9,0,,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Failure
2017-01-14T17:54:00.000Z,Iridium NEXT Mission 1,"[{'type': 'Satellite', 'mass': 9600, 'orbit': 'PO'}]",Falcon 9,0,70.0,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,JRTI,ASDS,,"(28.4104, -80.6188)",Success
2017-02-19T14:39:00.000Z,CRS-10,"[{'type': 'Dragon 1.1', 'mass': 2490, 'orbit': 'ISS'}]",Falcon 9,0,,3.7,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
2017-03-16T06:00:00.000Z,EchoStar 23,"[{'type': 'Satellite', 'mass': 5600, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,,,,"(nan, nan)",Success
2017-03-30T22:27:00.000Z,SES-10,"[{'type': 'Satellite', 'mass': 5300, 'orbit': 'GTO'}]",Falcon 9,0,,3.7,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,OCISLY,ASDS,,"(33.7291858, -118.262015)",Success
2017-05-01T11:15:00.000Z,NROL-76,"[{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 9,0,70.0,,,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
2017-05-15T23:21:00.000Z,Inmarsat-5 F4,"[{'type': 'Satellite', 'mass': 6070, 'orbit': 'GTO'}]",Falcon 9,0,,3.7,,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,,,,"(nan, nan)",Success
2017-06-03T21:07:00.000Z,CRS-11,"[{'type': 'Dragon 1.1', 'mass': 2708, 'orbit': 'ISS'}]",Falcon 9,0,,3.7,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
2017-06-23T19:10:00.000Z,BulgariaSat-1,"[{'type': 'Satellite', 'mass': 3669, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2017-06-25T20:25:00.000Z,Iridium NEXT Mission 2,"[{'type': 'Satellite', 'mass': 9600, 'orbit': 'PO'}]",Falcon 9,0,70.0,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2017-07-05T23:35:00.000Z,Intelsat 35e,"[{'type': 'Satellite', 'mass': 6761, 'orbit': 'GTO'}]",Falcon 9,0,,3.7,,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,,,,"(nan, nan)",Success
2017-08-14T16:31:00.000Z,CRS-12,"[{'type': 'Dragon 1.1', 'mass': 3310, 'orbit': 'ISS'}]",Falcon 9,0,70.0,,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,LZ-1,RTLS,,"(28.485833, -80.544444)",Success
2017-08-24T18:50:00.000Z,FormoSat-5,"[{'type': 'Satellite', 'mass': 5875, 'orbit': 'SSO'}]",Falcon 9,0,70.0,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2017-09-07T13:50:00.000Z,Boeing X-37B OTV-5,"[{'type': 'Satellite', 'mass': 4990, 'orbit': 'LEO'}]",Falcon 9,0,70.0,,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,LZ-1,RTLS,,"(28.485833, -80.544444)",Success
2017-10-09T12:37:00.000Z,Iridium NEXT Mission 3,"[{'type': 'Satellite', 'mass': 9600, 'orbit': 'PO'}]",Falcon 9,0,,3.7,,VAFB SLC 4E,California,"(34.632093, -120.610829)",,JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2017-10-11T22:53:00.000Z,SES-11 / Echostar 105,"[{'type': 'Satellite', 'mass': 5200, 'orbit': 'GTO'}]",Falcon 9,0,,3.7,,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2017-10-30T19:34:00.000Z,KoreaSat 5A,"[{'type': 'Satellite', 'mass': 3700, 'orbit': 'GTO'}]",Falcon 9,0,70.0,,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2017-12-15T15:36:00.000Z,CRS-13,"[{'type': 'Dragon 1.1', 'mass': 2205, 'orbit': 'ISS'}]",Falcon 9,0,,3.7,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
2017-12-23T01:27:23.000Z,Iridium NEXT Mission 4,"[{'type': 'Satellite', 'mass': 9600, 'orbit': 'PO'}]",Falcon 9,0,,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,,Ocean,,"(nan, nan)",Success
2018-01-08T01:00:00.000Z,ZUMA,"[{'type': 'Satellite', 'mass': None, 'orbit': 'LEO'}]",Falcon 9,0,70.0,,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
2018-01-31T21:25:00.000Z,SES-16 / GovSat-1,"[{'type': 'Satellite', 'mass': 4230, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,Ocean,,"(nan, nan)",Success
2018-02-06T20:45:00.000Z,Falcon Heavy Test Flight,"[{'type': 'Satellite', 'mass': 1350, 'orbit': 'HCO'}]",Falcon Heavy,2,70.0,12.2,1420788.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2018-02-22T14:17:00.000Z,Paz / Starlink Demo,"[{'type': 'Satellite', 'mass': 2150, 'orbit': 'SSO'}]",Falcon 9,0,70.0,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,,,,"(nan, nan)",Success
2018-03-06T05:33:00.000Z,Hispasat 30W-6,"[{'type': 'Satellite', 'mass': 6092, 'orbit': 'GTO'}]",Falcon 9,0,,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2018-03-30T14:13:51.000Z,Iridium NEXT Mission 5,"[{'type': 'Satellite', 'mass': 9600, 'orbit': 'PO'}]",Falcon 9,0,70.0,,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,,,,"(nan, nan)",Success
2018-04-02T20:30:41.000Z,CRS-14,"[{'type': 'Dragon 1.1', 'mass': 2647, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2018-04-18T22:51:00.000Z,TESS,"[{'type': 'Satellite', 'mass': 362, 'orbit': 'HEO'}]",Falcon 9,0,70.0,,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2018-05-11T20:14:00.000Z,Bangabandhu-1,"[{'type': 'Satellite', 'mass': 3750, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2018-05-22T19:47:58.000Z,Iridium NEXT Mission 6,"[{'type': 'Satellite', 'mass': 6460, 'orbit': 'PO'}]",Falcon 9,0,70.0,,,VAFB SLC 4E,California,"(34.632093, -120.610829)",,,,,"(nan, nan)",Success
2018-06-04T04:45:00.000Z,SES-12,"[{'type': 'Satellite', 'mass': 5383.85, 'orbit': 'GTO'}]",Falcon 9,0,70.0,,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2018-06-29T09:42:00.000Z,CRS-15,"[{'type': 'Dragon 1.1', 'mass': 2410, 'orbit': 'ISS'}]",Falcon 9,0,70.0,,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,,"(nan, nan)",Success
2018-07-22T05:50:00.000Z,Telstar 19V,"[{'type': 'Satellite', 'mass': 7076, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2018-07-25T11:39:26.000Z,Iridium NEXT Mission 7,"[{'type': 'Satellite', 'mass': 9600, 'orbit': 'PO'}]",Falcon 9,0,70.0,,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2018-08-07T05:18:00.000Z,Merah Putih,"[{'type': 'Satellite', 'mass': 5800, 'orbit': 'GTO'}]",Falcon 9,0,,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2018-09-10T04:45:00.000Z,Telstar 18V,"[{'type': 'Satellite', 'mass': 7060, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,OCISLY,ASDS,,"(33.7291858, -118.262015)",Success
2018-10-08T02:22:00.000Z,SAOCOM 1A,"[{'type': 'Satellite', 'mass': 2800, 'orbit': 'SSO'}]",Falcon 9,0,70.0,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",,LZ-4,RTLS,,"(34.632989, -120.615167)",Success
