SKU,Name,Price,InStock,Categories,Tags
4391,Bulbasaur,63.0,45,"Pokemon, Seed","bulbasaur, Overgrow, Seed"
7227,Ivysaur,87.0,142,"Pokemon, Seed","ivysaur, Overgrow, Seed"
7036,Venusaur,105.0,30,"Pokemon, Seed","Overgrow, Seed, venusaur"
9086,Charmander,48.0,206,"Lizard, Pokemon","Blaze, charmander, Lizard"
6565,Charmeleon,165.0,284,"Flame, Pokemon","Blaze, charmeleon, Flame"
8840,Charizard,156.0,31,"Flame, Pokemon","Blaze, Charizard, Flame"
6094,Squirtle,130.0,178,"Pokemon, Tiny Turtle","squirtle, Tiny Turtle, Torrent"
9659,Wartortle,123.0,24,"Pokemon, Turtle","Torrent, Turtle, wartortle"
5212,Blastoise,76.0,88,"Pokemon, Shellfish","blastoise, Shellfish, Torrent"
7492,Caterpie,73.0,40,"Pokemon, Worm","caterpie, Shield Dust, Worm"
2072,Metapod,148.0,285,"Cocoon, Pokemon","Cocoon, metapod, Shed Skin"
9507,Butterfree,162.0,242,"Butterfly, Pokemon","Butterfly, butterfree, Compound Eyes"
7525,Weedle,25.0,65,"Hairy Bug, Pokemon","Hairy Bug, Shield Dust, weedle"
1049,Kakuna,148.0,260,"Cocoon, Pokemon","Cocoon, kakuna, Shed Skin"
6542,Beedrill,168.0,125,"Poison Bee, Pokemon","beedrill, Poison Bee, Swarm"
9452,Pidgey,159.0,175,"Pokemon, Tiny Bird","Keen Eye, pidgey, Tiny Bird"
1150,Pidgeotto,84.0,120,"Bird, Pokemon","Bird, Keen Eye, pidgeotto"
8462,Pidgeot,185.0,90,"Bird, Pokemon","Bird, Keen Eye, pidgeot"
1009,Rattata,128.0,16,"Mouse, Pokemon","Mouse, rattata, Run Away"
5745,Raticate,60.0,204,"Mouse, Pokemon","Mouse, raticate, Run Away"
1591,Spearow,133.0,46,"Pokemon, Tiny Bird","Keen Eye, spearow, Tiny Bird"
9127,Fearow,95.0,276,"Beak, Pokemon","Beak, fearow, Keen Eye"
5690,Ekans,55.0,120,"Pokemon, Snake","ekans, Shed Skin, Snake"
9230,Arbok,182.0,248,"Cobra, Pokemon","arbok, Cobra, Shed Skin"
1333,Pikachu,37.0,254,"Mouse, Pokemon","Mouse, pikachu, Static"
3488,Raichu,140.0,215,"Mouse, Pokemon","Mouse, raichu, Static"
9134,Sandshrew,82.0,100,"Mouse, Pokemon","Mouse, Sand Veil, sandshrew"
4747,Sandslash,155.0,236,"Mouse, Pokemon","Mouse, Sand Veil, sandslash"
9779,Nidorina,28.0,58,"Poison Pin, Pokemon","nidorina, Poison Pin, Poison Point"
6614,Nidoqueen,106.0,153,"Drill, Pokemon","Drill, nidoqueen, Poison Point"
9646,Nidorino,179.0,279,"Poison Pin, Pokemon","nidorino, Poison Pin, Poison Point"
1159,Nidoking,31.0,178,"Drill, Pokemon","Drill, nidoking, Poison Point"
3259,Clefairy,160.0,86,"Fairy, Pokemon","clefairy, Cute Charm, Fairy"
9786,Clefable,188.0,23,"Fairy, Pokemon","clefable, Cute Charm, Fairy"
1440,Vulpix,85.0,268,"Fox, Pokemon","Flash Fire, Fox, vulpix"
5173,Ninetales,52.0,215,"Fox, Pokemon","Flash Fire, Fox, ninetales"
9180,Jigglypuff,61.0,136,"Balloon, Pokemon","Balloon, Cute Charm, jigglypuff"
2733,Wigglytuff,130.0,260,"Balloon, Pokemon","Balloon, Cute Charm, wigglytuff"
2584,Zubat,125.0,154,"Bat, Pokemon","Bat, Inner Focus, zubat"
5941,Golbat,136.0,52,"Bat, Pokemon","Bat, golbat, Inner Focus"
8337,Oddish,45.0,296,"Pokemon, Weed","Chlorophyll, oddish, Weed"
7374,Gloom,178.0,74,"Pokemon, Weed","Chlorophyll, gloom, Weed"
5295,Vileplume,170.0,283,"Flower, Pokemon","Chlorophyll, Flower, vileplume"
9691,Paras,168.0,192,"Mushroom, Pokemon","Effect Spore, Mushroom, paras"
4612,Parasect,27.0,17,"Mushroom, Pokemon","Effect Spore, Mushroom, parasect"
1329,Venonat,158.0,177,"Insect, Pokemon","Compound Eyes, Insect, venonat"
3503,Venomoth,53.0,22,"Poison Moth, Pokemon","Poison Moth, Shield Dust, venomoth"
4383,Diglett,122.0,227,"Mole, Pokemon","diglett, Mole, Sand Veil"
7897,Dugtrio,111.0,290,"Mole, Pokemon","dugtrio, Mole, Sand Veil"
9594,Meowth,131.0,203,"Pokemon, Scratch Cat","meowth, Pickup, Scratch Cat"
3752,Persian,200.0,108,"Classy Cat, Pokemon","Classy Cat, persian, Technician"
6470,Psyduck,182.0,214,"Duck, Pokemon","Damp, Duck, psyduck"
8764,Golduck,31.0,278,"Duck, Pokemon","Damp, Duck, golduck"
5180,Mankey,125.0,209,"Pig Monkey, Pokemon","mankey, Pig Monkey, Vital Spirit"
3052,Primeape,86.0,68,"Pig Monkey, Pokemon","Pig Monkey, primeape, Vital Spirit"
1749,Growlithe,30.0,243,"Pokemon, Puppy","growlithe, Intimidate, Puppy"
9267,Arcanine,69.0,14,"Legendary, Pokemon","arcanine, Intimidate, Legendary"
6402,Poliwag,174.0,217,"Pokemon, Tadpole","Damp, poliwag, Tadpole"
4447,Poliwhirl,121.0,139,"Pokemon, Tadpole","Damp, poliwhirl, Tadpole"
1848,Poliwrath,152.0,216,"Pokemon, Tadpole","Damp, poliwrath, Tadpole"
3845,Abra,141.0,116,"Pokemon, Psi","abra, Inner Focus, Psi"
9040,Kadabra,129.0,195,"Pokemon, Psi","Inner Focus, kadabra, Psi"
7975,Alakazam,40.0,142,"Pokemon, Psi","alakazam, Inner Focus, Psi"
9506,Machop,166.0,173,"Pokemon, Superpower","Guts, machop, Superpower"
9503,Machoke,27.0,10,"Pokemon, Superpower","Guts, machoke, Superpower"
2857,Machamp,121.0,242,"Pokemon, Superpower","Guts, machamp, Superpower"
7454,Bellsprout,74.0,257,"Flower, Pokemon","bellsprout, Chlorophyll, Flower"
5253,Weepinbell,26.0,46,"Flycatcher, Pokemon","Chlorophyll, Flycatcher, weepinbell"
2187,Victreebel,68.0,119,"Flycatcher, Pokemon","Chlorophyll, Flycatcher, victreebel"
1506,Tentacool,186.0,66,"Jellyfish, Pokemon","Clear Body, Jellyfish, tentacool"
1723,Tentacruel,65.0,175,"Jellyfish, Pokemon","Clear Body, Jellyfish, tentacruel"
1650,Geodude,32.0,77,"Pokemon, Rock","geodude, Rock, Rock Head"
4748,Graveler,182.0,86,"Pokemon, Rock","graveler, Rock, Rock Head"
1408,Golem,103.0,151,"Megaton, Pokemon","golem, Megaton, Rock Head"
3629,Ponyta,53.0,41,"Fire Horse, Pokemon","Fire Horse, ponyta, Run Away"
3414,Rapidash,98.0,194,"Fire Horse, Pokemon","Fire Horse, rapidash, Run Away"
2145,Slowpoke,109.0,57,"Dopey, Pokemon","Dopey, Oblivious, slowpoke"
3864,Slowbro,179.0,289,"Hermit Crab, Pokemon","Hermit Crab, Oblivious, slowbro"
1688,Magnemite,100.0,16,"Magnet, Pokemon","magnemite, Magnet, Sturdy"
5934,Magneton,191.0,152,"Magnet, Pokemon","Magnet, magneton, Sturdy"
3808,Farfetchd,185.0,158,"Pokemon, Wild Duck","farfetchd, Keen Eye, Wild Duck"
8303,Doduo,73.0,227,"Pokemon, Twin Bird","doduo, Run Away, Twin Bird"
4038,Dodrio,138.0,118,"Pokemon, Triple Bird","dodrio, Run Away, Triple Bird"
2302,Seel,164.0,250,"Pokemon, Sea Lion","Sea Lion, seel, Thick Fat"
9375,Dewgong,70.0,62,"Pokemon, Sea Lion","dewgong, Sea Lion, Thick Fat"
3031,Grimer,147.0,201,"Pokemon, Sludge","grimer, Sludge, Stench"
9514,Muk,187.0,220,"Pokemon, Sludge","muk, Sludge, Stench"
4653,Shellder,138.0,23,"Bivalve, Pokemon","Bivalve, Shell Armor, shellder"
5736,Cloyster,199.0,39,"Bivalve, Pokemon","Bivalve, cloyster, Shell Armor"
6873,Gastly,179.0,151,"Gas, Pokemon","Gas, gastly, Levitate"
7532,Haunter,42.0,181,"Gas, Pokemon","Gas, haunter, Levitate"
6267,Gengar,149.0,159,"Pokemon, Shadow","gengar, Levitate, Shadow"
2221,Onix,37.0,286,"Pokemon, Rock Snake","onix, Rock Head, Rock Snake"
9437,Drowzee,40.0,253,"Hypnosis, Pokemon","drowzee, Hypnosis, Insomnia"
2634,Hypno,198.0,222,"Hypnosis, Pokemon","hypno, Hypnosis, Insomnia"
2333,Krabby,64.0,147,"Pokemon, River Crab","krabby, River Crab, Shell Armor"
1454,Kingler,72.0,271,"Pincer, Pokemon","kingler, Pincer, Shell Armor"
9522,Voltorb,189.0,245,"Ball, Pokemon","Ball, Static, voltorb"
1042,Electrode,100.0,230,"Ball, Pokemon","Ball, electrode, Static"
2494,Exeggcute,126.0,144,"Egg, Pokemon","Chlorophyll, Egg, exeggcute"
8250,Exeggutor,68.0,292,"Coconut, Pokemon","Chlorophyll, Coconut, exeggutor"
3170,Cubone,177.0,242,"Lonely, Pokemon","cubone, Lonely, Rock Head"
8681,Marowak,36.0,295,"Bone Keeper, Pokemon","Bone Keeper, marowak, Rock Head"
6833,Hitmonlee,73.0,269,"Kicking, Pokemon","hitmonlee, Kicking, Limber"
3499,Hitmonchan,91.0,163,"Pokemon, Punching","hitmonchan, Keen Eye, Punching"
5903,Lickitung,142.0,291,"Licking, Pokemon","Licking, lickitung, Oblivious"
3303,Koffing,38.0,110,"Poison Gas, Pokemon","koffing, Levitate, Poison Gas"
8429,Weezing,48.0,117,"Poison Gas, Pokemon","Levitate, Poison Gas, weezing"
8574,Rhyhorn,124.0,138,"Pokemon, Spikes","rhyhorn, Rock Head, Spikes"
4900,Rhydon,27.0,73,"Drill, Pokemon","Drill, rhydon, Rock Head"
8548,Chansey,176.0,151,"Egg, Pokemon","chansey, Egg, Natural Cure"
3530,Tangela,64.0,91,"Pokemon, Vine","Chlorophyll, tangela, Vine"
7268,Kangaskhan,164.0,35,"Parent, Pokemon","Early Bird, kangaskhan, Parent"
1885,Horsea,154.0,88,"Dragon, Pokemon","Dragon, horsea, Swift Swim"
2148,Seadra,51.0,45,"Dragon, Pokemon","Dragon, Poison Point, seadra"
3144,Goldeen,170.0,117,"Goldfish, Pokemon","goldeen, Goldfish, Swift Swim"
9260,Seaking,129.0,226,"Goldfish, Pokemon","Goldfish, seaking, Swift Swim"
7802,Staryu,166.0,292,"Pokemon, Star Shape","Natural Cure, Star Shape, staryu"
7984,Starmie,176.0,283,"Mysterious, Pokemon","Mysterious, Natural Cure, starmie"
9469,Mr-mime,144.0,105,"Barrier, Pokemon","Barrier, mr-mime, Soundproof"
5181,Scyther,85.0,139,"Mantis, Pokemon","Mantis, scyther, Swarm"
1615,Jynx,138.0,197,"Human Shape, Pokemon","Human Shape, jynx, Oblivious"
7699,Electabuzz,125.0,63,"Electric, Pokemon","electabuzz, Electric, Static"
8655,Magmar,130.0,16,"Pokemon, Spitfire","Flame Body, magmar, Spitfire"
2091,Pinsir,141.0,29,"Pokemon, Stag Beetle","Hyper Cutter, pinsir, Stag Beetle"
2149,Tauros,63.0,298,"Pokemon, Wild Bull","Intimidate, tauros, Wild Bull"
6706,Magikarp,43.0,126,"Fish, Pokemon","Fish, magikarp, Swift Swim"
9629,Gyarados,79.0,100,"Atrocious, Pokemon","Atrocious, gyarados, Intimidate"
7759,Lapras,172.0,89,"Pokemon, Transport","lapras, Transport, Water Absorb"
5061,Ditto,75.0,177,"Pokemon, Transform","ditto, Limber, Transform"
3593,Eevee,112.0,234,"Evolution, Pokemon","eevee, Evolution, Run Away"
5437,Vaporeon,147.0,226,"Bubble Jet, Pokemon","Bubble Jet, vaporeon, Water Absorb"
4119,Jolteon,158.0,37,"Lightning, Pokemon","jolteon, Lightning, Volt Absorb"
8149,Flareon,34.0,142,"Flame, Pokemon","Flame, flareon, Flash Fire"
7940,Porygon,178.0,156,"Pokemon, Virtual","porygon, Trace, Virtual"
4569,Omanyte,162.0,13,"Pokemon, Spiral","omanyte, Shell Armor, Spiral"
3283,Omastar,61.0,249,"Pokemon, Spiral","omastar, Shell Armor, Spiral"
9584,Kabuto,79.0,187,"Pokemon, Shellfish","kabuto, Shellfish, Swift Swim"
4736,Kabutops,57.0,228,"Pokemon, Shellfish","kabutops, Shellfish, Swift Swim"
1801,Aerodactyl,56.0,257,"Fossil, Pokemon","aerodactyl, Fossil, Rock Head"
9883,Snorlax,134.0,260,"Pokemon, Sleeping","Sleeping, snorlax, Thick Fat"
6040,Articuno,77.0,101,"Freeze, Pokemon","articuno, Freeze, Pressure"
7213,Zapdos,133.0,265,"Electric, Pokemon","Electric, Pressure, zapdos"
2571,Moltres,178.0,208,"Flame, Pokemon","Flame, moltres, Pressure"
2799,Dratini,94.0,275,"Dragon, Pokemon","Dragon, dratini, Shed Skin"
5641,Dragonair,57.0,119,"Dragon, Pokemon","Dragon, dragonair, Shed Skin"
9175,Dragonite,69.0,127,"Dragon, Pokemon","Dragon, dragonite, Inner Focus"
4630,Mewtwo,43.0,78,"Genetic, Pokemon","Genetic, mewtwo, Pressure"
4382,Mew,136.0,152,"New Species, Pokemon","mew, New Species, Synchronize"
2657,Chikorita,127.0,98,"Leaf, Pokemon","chikorita, Leaf, Overgrow"
1272,Bayleef,44.0,299,"Leaf, Pokemon","bayleef, Leaf, Overgrow"
5778,Meganium,163.0,71,"Herb, Pokemon","Herb, meganium, Overgrow"
3987,Cyndaquil,154.0,184,"Fire Mouse, Pokemon","Blaze, cyndaquil, Fire Mouse"
6999,Quilava,85.0,263,"Pokemon, Volcano","Blaze, quilava, Volcano"
5228,Typhlosion,191.0,118,"Pokemon, Volcano","Blaze, typhlosion, Volcano"
4342,Totodile,190.0,285,"Big Jaw, Pokemon","Big Jaw, Torrent, totodile"
9299,Croconaw,175.0,255,"Big Jaw, Pokemon","Big Jaw, croconaw, Torrent"
9344,Feraligatr,183.0,175,"Big Jaw, Pokemon","Big Jaw, feraligatr, Torrent"
2687,Sentret,48.0,83,"Pokemon, Scout","Keen Eye, Scout, sentret"
4876,Furret,154.0,85,"Long Body, Pokemon","furret, Keen Eye, Long Body"
4691,Hoothoot,48.0,204,"Owl, Pokemon","hoothoot, Keen Eye, Owl"
9939,Noctowl,170.0,10,"Owl, Pokemon","Keen Eye, noctowl, Owl"
3874,Ledyba,98.0,83,"Five Star, Pokemon","Five Star, ledyba, Swarm"
1806,Ledian,136.0,65,"Five Star, Pokemon","Five Star, ledian, Swarm"
4388,Spinarak,199.0,136,"Pokemon, String Spit","spinarak, String Spit, Swarm"
9759,Ariados,85.0,50,"Long Leg, Pokemon","ariados, Long Leg, Swarm"
6120,Crobat,195.0,245,"Bat, Pokemon","Bat, crobat, Inner Focus"
2651,Chinchou,59.0,130,"Angler, Pokemon","Angler, chinchou, Illuminate"
7579,Lanturn,131.0,218,"Light, Pokemon","Illuminate, lanturn, Light"
4987,Pichu,193.0,64,"Pokemon, Tiny Mouse","pichu, Static, Tiny Mouse"
2794,Cleffa,107.0,187,"Pokemon, Star Shape","cleffa, Cute Charm, Star Shape"
2662,Igglybuff,189.0,170,"Balloon, Pokemon","Balloon, Cute Charm, igglybuff"
1684,Togepi,47.0,264,"Pokemon, Spike Ball","Serene Grace, Spike Ball, togepi"
9410,Togetic,69.0,293,"Happiness, Pokemon","Happiness, Serene Grace, togetic"
2942,Natu,99.0,36,"Pokemon, Tiny Bird","natu, Synchronize, Tiny Bird"
7616,Xatu,123.0,196,"Mystic, Pokemon","Mystic, Synchronize, xatu"
2016,Mareep,79.0,152,"Pokemon, Wool","mareep, Static, Wool"
9291,Flaaffy,163.0,64,"Pokemon, Wool","flaaffy, Static, Wool"
2141,Ampharos,41.0,247,"Light, Pokemon","ampharos, Light, Static"
7003,Bellossom,25.0,234,"Flower, Pokemon","bellossom, Chlorophyll, Flower"
4728,Marill,127.0,55,"Aqua Mouse, Pokemon","Aqua Mouse, marill, Thick Fat"
9464,Azumarill,175.0,300,"Aqua Rabbit, Pokemon","Aqua Rabbit, azumarill, Thick Fat"
1558,Sudowoodo,54.0,147,"Imitation, Pokemon","Imitation, Rock Head, sudowoodo"
9168,Politoed,193.0,261,"Frog, Pokemon","Damp, Frog, politoed"
1154,Hoppip,107.0,266,"Cottonweed, Pokemon","Chlorophyll, Cottonweed, hoppip"
2616,Skiploom,185.0,94,"Cottonweed, Pokemon","Chlorophyll, Cottonweed, skiploom"
2168,Jumpluff,107.0,235,"Cottonweed, Pokemon","Chlorophyll, Cottonweed, jumpluff"
8103,Aipom,182.0,92,"Long Tail, Pokemon","aipom, Long Tail, Run Away"
4061,Sunkern,150.0,255,"Pokemon, Seed","Chlorophyll, Seed, sunkern"
7947,Sunflora,33.0,163,"Pokemon, Sun","Chlorophyll, sun, sunflora"
8321,Yanma,130.0,130,"Clear Wing, Pokemon","Clear Wing, Compound Eyes, yanma"
4198,Wooper,98.0,48,"Pokemon, Water Fish","Damp, Water Fish, wooper"
2688,Quagsire,37.0,292,"Pokemon, Water Fish","Damp, quagsire, Water Fish"
9676,Espeon,177.0,153,"Pokemon, Sun","espeon, sun, Synchronize"
4995,Umbreon,78.0,186,"Moonlight, Pokemon","Moonlight, Synchronize, umbreon"
2223,Murkrow,178.0,246,"Darkness, Pokemon","Darkness, Insomnia, murkrow"
9664,Slowking,174.0,55,"Pokemon, Royal","Oblivious, Royal, slowking"
9272,Misdreavus,33.0,207,"Pokemon, Screech","Levitate, misdreavus, Screech"
9561,Unown,198.0,47,"Pokemon, Symbol","Levitate, Symbol, unown"
6138,Wobbuffet,107.0,113,"Patient, Pokemon","Patient, Shadow Tag, wobbuffet"
7871,Girafarig,99.0,31,"Long Neck, Pokemon","girafarig, Inner Focus, Long Neck"
5090,Gligar,112.0,140,"Fly Scorpion, Pokemon","Fly Scorpion, gligar, Sand Veil"
4345,Steelix,116.0,157,"Iron Snake, Pokemon","Iron Snake, Rock Head, steelix"
3961,Snubbull,63.0,164,"Fairy, Pokemon","Fairy, Run Away, snubbull"
7346,Granbull,59.0,171,"Fairy, Pokemon","Fairy, granbull, Intimidate"
3335,Qwilfish,77.0,297,"Balloon, Pokemon","Balloon, Poison Point, qwilfish"
9056,Scizor,172.0,198,"Pincer, Pokemon","Pincer, scizor, Swarm"
7903,Shuckle,194.0,74,"Mold, Pokemon","Mold, shuckle, Sturdy"
9256,Heracross,143.0,49,"Pokemon, Single Horn","heracross, Single Horn, Swarm"
5017,Sneasel,108.0,141,"Pokemon, Sharp Claw","Keen Eye, Sharp Claw, sneasel"
7681,Teddiursa,173.0,274,"Little Bear, Pokemon","Little Bear, Pickup, teddiursa"
7576,Ursaring,31.0,209,"Hibernator, Pokemon","Guts, Hibernator, ursaring"
3917,Magcargo,36.0,210,"Lava, Pokemon","Flame Body, Lava, magcargo"
8647,Swinub,132.0,250,"Pig, Pokemon","Oblivious, Pig, swinub"
4003,Piloswine,84.0,276,"Pokemon, Swine","Oblivious, piloswine, Swine"
5281,Corsola,27.0,162,"Coral, Pokemon","Coral, corsola, Natural Cure"
4952,Remoraid,122.0,46,"Jet, Pokemon","Jet, remoraid, Sniper"
9000,Octillery,94.0,150,"Jet, Pokemon","Jet, octillery, Sniper"
6280,Delibird,121.0,141,"Delivery, Pokemon","delibird, Delivery, Vital Spirit"
3704,Mantine,114.0,195,"Kite, Pokemon","Kite, mantine, Water Absorb"
1057,Skarmory,199.0,102,"Armor Bird, Pokemon","Armor Bird, Keen Eye, skarmory"
7965,Houndour,144.0,184,"Dark, Pokemon","Dark, Flash Fire, houndour"
2081,Houndoom,78.0,40,"Dark, Pokemon","Dark, Flash Fire, houndoom"
7090,Kingdra,124.0,206,"Dragon, Pokemon","Dragon, kingdra, Swift Swim"
7852,Phanpy,129.0,120,"Long Nose, Pokemon","Long Nose, phanpy, Pickup"
3134,Donphan,89.0,197,"Armor, Pokemon","Armor, donphan, Sturdy"
4420,Porygon2,151.0,210,"Pokemon, Virtual","porygon2, Trace, Virtual"
3706,Stantler,33.0,278,"Big Horn, Pokemon","Big Horn, Intimidate, stantler"
6497,Smeargle,151.0,56,"Painter, Pokemon","Painter, smeargle, Technician"
7594,Tyrogue,145.0,76,"Pokemon, Scuffle","Guts, Scuffle, tyrogue"
3340,Hitmontop,149.0,47,"Handstand, Pokemon","Handstand, hitmontop, Intimidate"
7637,Smoochum,166.0,116,"Kiss, Pokemon","Kiss, Oblivious, smoochum"
5157,Elekid,104.0,131,"Electric, Pokemon","Electric, elekid, Static"
5864,Magby,40.0,21,"Live Coal, Pokemon","Flame Body, Live Coal, magby"
1586,Miltank,26.0,12,"Milk Cow, Pokemon","Milk Cow, miltank, Thick Fat"
8632,Blissey,31.0,289,"Happiness, Pokemon","blissey, Happiness, Natural Cure"
5989,Raikou,66.0,276,"Pokemon, Thunder","Pressure, raikou, Thunder"
9592,Entei,27.0,36,"Pokemon, Volcano","entei, Pressure, Volcano"
8586,Suicune,68.0,275,"Aurora, Pokemon","Aurora, Pressure, suicune"
9302,Larvitar,26.0,31,"Pokemon, Rock Skin","Guts, larvitar, Rock Skin"
4140,Pupitar,114.0,221,"Hard Shell, Pokemon","Hard Shell, pupitar, Shed Skin"
8144,Tyranitar,190.0,86,"Armor, Pokemon","Armor, Sand Stream, tyranitar"
2564,Lugia,86.0,57,"Diving, Pokemon","Diving, lugia, Pressure"
2198,Ho-oh,91.0,228,"Pokemon, Rainbow","ho-oh, Pressure, Rainbow"
1144,Celebi,111.0,154,"Pokemon, Time Travel","celebi, Natural Cure, Time Travel"
4817,Treecko,96.0,93,"Pokemon, Wood Gecko","Overgrow, treecko, Wood Gecko"
9191,Grovyle,190.0,195,"Pokemon, Wood Gecko","grovyle, Overgrow, Wood Gecko"
4619,Sceptile,37.0,159,"Forest, Pokemon","Forest, Overgrow, sceptile"
5952,Torchic,28.0,290,"Chick, Pokemon","Blaze, Chick, torchic"
9912,Combusken,68.0,257,"Pokemon, Young Fowl","Blaze, combusken, Young Fowl"
7662,Blaziken,40.0,139,"Blaze, Pokemon","Blaze, blaziken"
5363,Mudkip,140.0,193,"Mud Fish, Pokemon","Mud Fish, mudkip, Torrent"
6721,Marshtomp,152.0,258,"Mud Fish, Pokemon","marshtomp, Mud Fish, Torrent"
9105,Swampert,144.0,113,"Mud Fish, Pokemon","Mud Fish, swampert, Torrent"
4801,Poochyena,130.0,265,"Bite, Pokemon","Bite, poochyena, Run Away"
4220,Mightyena,175.0,173,"Bite, Pokemon","Bite, Intimidate, mightyena"
5175,Zigzagoon,83.0,281,"Pokemon, Tiny Raccoon","Pickup, Tiny Raccoon, zigzagoon"
