Country Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical Cases,Total Tests,Population
USA,"31,990,143",,"576,298 ",,"24,560,856","6,852,989","9,321","420,822,699","332,516,170"
India,"13,689,453","+3,380","171,089 ",,"12,253,697","1,264,667","8,944","259,207,108","1,390,568,032"
Brazil,"13,521,409",,"355,031 ",,"11,957,068","1,209,310","8,318","28,600,000","213,737,070"
France,"5,067,216",,"99,135 ",,"310,934","4,657,147","5,916","70,140,847","65,386,285"
Russia,"4,657,883","+8,173","103,601 ",338.0,"4,281,776","272,506","2,300","124,100,000","145,983,351"
UK,"4,373,343",,"127,100 ",,"3,981,812","264,431",406,"136,821,861","68,164,143"
Turkey,"3,903,573",,"34,182 ",,"3,372,629","496,762","2,891","41,892,922","85,045,404"
Italy,"3,779,594",,"114,612 ",,"3,140,565","524,417","3,593","53,245,501","60,392,321"
Spain,"3,370,256",,"76,525 ",,"3,111,026","182,705","2,163","44,285,495","46,768,927"
Germany,"3,021,064",,"79,110 ",,"2,700,200","241,754","4,662","51,559,277","83,993,045"
Poland,"2,599,850","+13,227","59,126 ",644.0,"2,219,655","321,069","3,513","13,062,929","37,814,209"
Colombia,"2,552,937",,"66,156 ",,"2,395,733","91,048","3,079","13,367,485","51,305,017"
Argentina,"2,551,999",,"57,957 ",,"2,247,124","246,918","3,819","9,655,684","45,518,759"
Mexico,"2,281,840","+1,627","209,702 ",364.0,"1,812,694","259,444","4,798","6,279,527","129,987,170"
Iran,"2,093,452",,"64,764 ",,"1,720,084","308,604","4,440","13,770,167","84,829,001"
Ukraine,"1,872,785","+11,680","37,758 ",457.0,"1,430,234","404,793",177,"8,677,716","43,528,048"
Peru,"1,653,320",,"55,230 ",,"1,575,242","22,848","2,073","10,026,470","33,328,876"
Czechia,"1,585,037","+3,843","28,038 ",42.0,"1,473,483","83,516","1,144","14,635,011","10,724,495"
Indonesia,"1,577,526","+5,702","42,782 ",126.0,"1,426,145","108,599",,"13,510,828","275,774,906"
South Africa,"1,559,113",,"53,356 ",,"1,484,356","21,401",546,"10,154,978","59,890,253"
Netherlands,"1,357,340",,"16,791 ",,,,789,"11,292,587","17,164,474"
Chile,"1,082,920",,"24,483 ",,"1,012,904","45,533","3,203","11,971,224","19,244,023"
Canada,"1,071,016",,"23,356 ",,"972,525","75,135",928,"29,142,269","37,999,909"
Romania,"1,012,373","+3,883","25,441 ",193.0,"915,464","71,468","1,530","7,736,296","19,137,193"
Iraq,"932,899",,"14,757 ",,"820,532","97,610",451,"8,552,580","40,921,569"
Belgium,"927,229","+1,753","23,503 ",30.0,"59,873","843,853",899,"11,723,475","11,628,975"
Philippines,"884,783","+8,571","15,286 ",137.0,"703,963","165,534",750,"10,814,501","110,715,077"
Sweden,"857,401",,"13,621 ",,,,376,"7,847,033","10,148,363"
Israel,"836,158",,"6,304 ",,"826,494","3,360",250,"13,778,191","9,197,590 "
Portugal,"827,765",,"16,918 ",,"785,063","25,784",119,"9,530,238","10,173,455"
Pakistan,"729,920","+4,318","15,619 ",118.0,"638,267","76,034","4,198","10,829,994","224,218,687"
Hungary,"728,078","+2,837","23,980 ",272.0,"431,124","272,974","1,209","4,976,613","9,641,167"
Bangladesh,"691,957",,"9,822 ",,"581,113","101,022",,"5,037,833","165,966,798"
Jordan,"669,300",,"7,855 ",,"604,044","57,401",729,"6,348,440","10,281,995"
Serbia,"645,173",,"5,773 ",,"560,934","78,466",254,"3,601,063","8,709,834"
Switzerland,"623,126",,"10,466 ",,"560,294","52,366",193,"6,412,371","8,703,948"
Austria,"581,263","+2,313","9,748 ",42.0,"541,786","29,729",599,"27,197,861","9,046,471"
Japan,"506,286",,"9,400 ",,"465,916","30,970",563,"10,454,733","126,173,611"
Morocco,"502,277",,"8,909 ",,"488,632","4,736",240,"6,106,431","37,250,917"
Lebanon,"497,854",,"6,703 ",,"406,095","85,056",827,"3,719,848","6,801,526"
UAE,"485,675",,"1,533 ",,"470,175","13,967",,"40,403,698","9,983,359"
Saudi Arabia,"399,277",,"6,765 ",,"384,027","8,485",950,"15,857,235","35,235,026"
Bulgaria,"375,115",,"14,619 ",,"289,356","71,140",776,"2,287,726","6,907,472"
Slovakia,"372,038",+870,"10,716 ",86.0,"255,300","106,022",506,"2,449,747","5,461,708"
Malaysia,"363,940","+1,767","1,345 ",12.0,"346,295","16,300",199,"8,292,260","32,688,487"
Panama,"358,792",,"6,167 ",,"348,554","4,071",105,"2,243,777","4,367,524"
Ecuador,"347,070",,"17,298 ",,"290,314","39,458",593,"1,195,370","17,851,195"
Belarus,"336,881",,"2,363 ",,"327,087","7,431",,"5,563,117","9,446,894"
Greece,"297,086",,"8,961 ",,"254,804","33,321",781,"7,109,471","10,383,207"
Croatia,"294,874","+1,936","6,358 ",25.0,"276,420","12,096",192,"1,652,525","4,085,445"
Georgia,"290,129","+1,374","3,894 ",11.0,"278,251","7,984",,"3,722,612","3,983,180"
Azerbaijan,"287,144",,"3,944 ",,"251,760","31,440",,"3,026,132","10,210,354"
Bolivia,"283,084",+989,"12,469 ",18.0,"232,422","38,193",71,"999,531","11,796,807"
Nepal,"280,524",,"3,053 ",,"274,165","3,306",,"2,317,284","29,543,475"
Kazakhstan,"273,825","+2,016","3,260 ",24.0,"235,862","34,703",221,"9,258,849","18,951,428"
Tunisia,"272,940",,"9,332 ",,"226,070","37,538",415,"1,186,045","11,914,881"
Palestine,"270,856",,"2,883 ",,"234,698","33,275",186,"1,636,553","5,193,231"
Dominican Republic,"258,039",,"3,392 ",,"216,780","37,867",151,"1,348,754","10,932,601"
Kuwait,"248,729",,"1,412 ",,"232,556","14,761",228,"2,169,047","4,319,647"
Moldova,"241,820",,"5,409 ",,"223,822","12,589",303,"905,532","4,026,631"
Ireland,"241,330",,"4,785 ",,"23,364","213,181",46,"4,196,113","4,980,708"
Denmark,"238,306",,"2,443 ",,"227,244","8,619",40,"29,457,120","5,808,121"
Paraguay,"237,542",,"4,889 ",,"194,987","37,666",446,"981,681","7,200,687"
Ethiopia,"230,944",,"3,208 ",,"171,980","55,756",983,"2,453,287","117,166,929"
Lithuania,"227,889","+1,088","3,713 ",12.0,"207,391","16,785",150,"2,516,597","2,692,476"
Slovenia,"227,836","+1,049","4,130 ",4.0,"209,920","13,786",146,"1,109,932","2,079,161"
Costa Rica,"222,544",,"3,018 ",,"194,760","24,766",199,"842,015","5,130,346"
Egypt,"211,307",,"12,487 ",,"159,999","38,821",90,"2,677,262","103,831,623"
Armenia,"204,053",+726,"3,775 ",22.0,"183,660","16,618",,"909,604","2,967,568"
Guatemala,"203,309",,"7,020 ",,"186,127","10,162",5,"1,108,633","18,172,684"
Honduras,"196,086",+306,"4,861 ",57.0,"75,952","115,273",536,"542,768","10,026,957"
Qatar,"190,998",,335 ,,"170,194","20,469",473,"1,808,736","2,807,805 "
Bosnia and Herzegovina,"184,698",,"7,487 ",,"141,602","35,609",,"846,536","3,264,840"
Venezuela,"175,812",,"1,795 ",,"158,399","15,618",237,"3,359,014","28,372,923"
Oman,"174,364","+1,335","1,798 ",9.0,"154,771","17,795",250,"1,550,000","5,207,086"
Libya,"169,504",+828,"2,830 ",2.0,"154,220","12,454",,"919,189","6,943,932"
Nigeria,"163,837",,"2,061 ",,"154,177","7,599",11,"1,838,174","210,092,733"
Bahrain,"157,729",,562 ,,"145,953","11,214",85,"3,798,472","1,747,137"
Uruguay,"147,173",,"1,533 ",,"113,125","32,515",494,"1,532,512","3,483,126"
Kenya,"146,156",,"2,368 ",,"99,210","44,578",248,"1,564,827","54,688,827"
Myanmar,"142,596",,"3,206 ",,"131,869","7,521",,"2,555,312","54,694,134"
North Macedonia,"142,034",,"4,262 ",,"117,794","19,978",124,"670,333","2,083,307"
Albania,"128,518",,"2,321 ",,"98,269","27,928",18,"585,329","2,875,341"
Algeria,"118,645",,"3,134 ",,"82,704","32,807",14,"230,861","44,465,491"
Estonia,"115,080",+638,"1,049 ",12.0,"96,844","17,187",72,"1,204,118","1,327,232"
S. Korea,"110,688",+542,"1,775 ",5.0,"101,332","7,581",101,"8,200,519","51,303,652"
Latvia,"108,355",+537,"2,002 ",12.0,"99,324","7,029",94,"2,049,958","1,869,845"
Norway,"104,269",,687 ,,"88,952","14,630",56,"4,878,675","5,454,272"
Sri Lanka,"95,394",,598 ,,"91,775","3,021",,"2,374,627","21,483,302"
Montenegro,"94,419",,"1,381 ",,"88,834","4,204",69,"353,329","628,128"
Ghana,"91,260",,754 ,,"89,092","1,414",10,"1,025,654","31,575,645"
Kyrgyzstan,"90,599",+227,"1,532 ",4.0,"86,152","2,915",25,"908,302","6,607,775"
Zambia,"90,064",,"1,227 ",,"88,077",760,57,"1,308,716","18,781,755"
Cuba,"87,385",,467 ,,"81,900","5,018",58,"3,235,144","11,321,213"
Uzbekistan,"85,291",+177,634 ,,"83,089","1,568",23,"1,377,915","33,846,159"
Finland,"82,564",+286,874 ,,"46,000","35,690",42,"4,182,779","5,547,442"
Mozambique,"68,792",,791 ,,"59,401","8,600",68,"496,890","31,932,011"
El Salvador,"66,657",+168,"2,054 ",,"63,072","1,531",60,"873,873","6,511,733"
Luxembourg,"63,880",,772 ,,"59,988","3,120",30,"2,510,240","633,887"
Cameroon,"61,731",,919 ,,"56,926","3,886",385,"1,257,949","27,057,111"
Singapore,"60,692",+14,30 ,,"60,357",305,1,"8,789,647","5,886,193"
Afghanistan,"57,492",+128,"2,532 ",3.0,"52,013","2,947","1,124","374,076","39,607,351"
Cyprus,"52,033",,273 ,,"39,061","12,699",56,"4,001,418","1,214,209"
Namibia,"45,787",,575 ,,"43,721","1,491",32,"363,659","2,576,611"
Ivory Coast,"45,227",,268 ,,"44,683",276,,"557,294","26,883,682"
Botswana,"43,444",,663 ,,"38,923","3,858",1,"958,802","2,388,438"
Jamaica,"42,763",,676 ,,"19,017","23,070",49,"305,709","2,971,251"
Uganda,"41,174",,337 ,,"40,779",58,24,"969,637","46,855,361"
Senegal,"39,465",,"1,079 ",,"38,215",171,17,"455,488","17,085,094"
Zimbabwe,"37,307",,"1,542 ",,"34,901",864,12,"394,257","15,031,062"
Thailand,"34,575",+965,97 ,,"28,288","6,190",1,"8,124,896","69,936,717"
Malawi,"33,859",,"1,132 ",,"31,572","1,155",21,"224,636","19,512,250"
Sudan,"30,111",,"2,063 ",,"24,214","3,834",,"232,965","44,641,909"
Malta,"29,661",,402 ,,"28,706",553,,"834,763","442,461"
Australia,"29,426",+7,910 ,1.0,"26,361","2,155",,"16,161,532","25,730,082"
DRC,"28,542",,745 ,,"25,841","1,956",,"143,197","91,662,959"
Madagascar,"28,541",,506 ,,"24,105","3,930",246,"155,563","28,241,598"
Maldives,"25,701",,67 ,,"22,796","2,838",82,"670,883","547,933"
Angola,"23,549",,554 ,,"22,093",902,15,"443,086","33,655,110"
Rwanda,"23,535",,316 ,,"21,272","1,947",8,"1,224,739","13,200,639"
Guinea,"21,106",+74,136 ,,"18,686","2,284",24,"416,078","13,408,133"
Gabon,"20,971",,129 ,,"17,762","3,080",20,"669,004","2,266,390"
Syria,"20,331",,"1,385 ",,"14,122","4,824",,"103,566","17,829,667"
Mayotte,"19,706",,167 ,,"2,964","16,575",8,"165,683","277,909"
Cabo Verde,"19,110",,184 ,,"17,399","1,527",23,"136,977","560,687"
French Polynesia,"18,666",,141 ,,"4,842","13,683",2,"26,355","282,174"
Eswatini,"18,393",,669 ,,"17,682",42,3,"173,720","1,169,515"
Mauritania,"18,035",,450 ,,"17,373",212,14,"215,922","4,744,159"
French Guiana,"17,706",,94 ,,"9,995","7,617",9,"171,169","304,669"
Réunion,"17,508",,123 ,,"16,011","1,374",54,"100,098","900,292"
Mongolia,"16,603",+885,27 ,2.0,"9,887","6,689",88,"2,492,932","3,319,290"
Tajikistan,"13,308",,90 ,,"13,218",0,,,"9,703,563"
Burkina Faso,"12,989",,153 ,,"12,627",209,,"175,352","21,346,254"
Haiti,"12,855",,251 ,,"11,513","1,091",,"60,085","11,510,653"
Andorra,"12,581",,121 ,,"11,890",570,12,"193,595","77,362"
Somalia,"12,566",,618 ,,"5,270","6,678",,"100,631","16,235,833"
Belize,"12,503",,318 ,,"12,134",51,1,"106,371","403,229"
Guadeloupe,"12,140",,174 ,,"2,242","9,724",13,"159,029","400,177"
Togo,"12,034",,116 ,,"9,303","2,615",,"292,368","8,428,939"
Mali,"12,002",,414  ,,"7,166","4,422",,"243,860","20,701,344"
Hong Kong,"11,608",+13,207 ,,"11,227",174,7,"11,193,673","7,544,369"
Curaçao,"11,385",,68 ,,"6,845","4,472",22,"85,247","164,617"
Guyana,"11,189",,257 ,,"9,751","1,181",17,"99,746","789,513"
Lesotho,"10,709",,315 ,,"5,028","5,366",,"71,629","2,155,481"
South Sudan,"10,381",,114 ,,"10,148",119,,"139,846","11,295,828"
Congo,"10,084",,137 ,,"8,208","1,739",,"92,500","5,623,185"
Aruba,"10,076",,92 ,,"9,468",516,14,"136,656","107,120"
Djibouti,"9,975",,100 ,,"8,184","1,691",,"140,642","999,165"
Bahamas,"9,460",,190 ,,"8,865",405,4,"80,573","396,170"
Suriname,"9,316",,182 ,,"8,700",434,10,"46,195","590,726"
Martinique,"9,028",,57 ,,98,"8,873",5,"133,358","375,038"
Papua New Guinea,"8,821",+219,69 ,,846,"7,906",,"70,260","9,078,488"
Trinidad and Tobago,"8,441",,146 ,,"7,775",520,14,"117,847","1,403,025"
Benin,"7,515",,93 ,,"6,452",970,35,"548,484","12,368,739"
Equatorial Guinea,"7,219",,106 ,,"6,799",314,11,"115,364","1,438,522"
Nicaragua,"6,727",,179 ,,"4,225","2,323",,,"6,685,869"
Iceland,"6,267",,29 ,,"6,140",98,,"562,645","342,969"
Gambia,"5,602",,168 ,,"5,145",289,3,"59,297","2,469,123"
CAR,"5,491",,74 ,,"5,056",361,2,"40,907","4,894,947"
Yemen,"5,446",,"1,068 ",,"2,059","2,319",23,"22,934","30,334,834"
Niger,"5,081",,189 ,,"4,760",132,1,"93,751","24,881,206"
San Marino,"4,962",,86 ,,"4,510",366,8,"56,114","33,987"
Cambodia,"4,696",+181,33 ,3.0,"2,252","2,411",,"782,811","16,898,828"
Chad,"4,641",,167 ,,"4,298",176,,"110,863","16,789,929"
Seychelles,"4,444",,25 ,,"4,161",258,,"21,504","98,822"
Saint Lucia,"4,355",,64 ,,"4,179",112,1,"37,758","184,282"
Gibraltar,"4,277",,94 ,,"4,181",2,,"219,808","33,683"
Channel Islands,"4,051",,86 ,,"3,956",9,1,"399,901","175,111"
Sierra Leone,"4,008",,79 ,,"2,831","1,098",,"118,332","8,102,739"
Comoros,"3,789",,146 ,,"3,577",66,,,"883,955"
Barbados,"3,734",,44 ,,"3,613",77,,"146,355","287,650"
Guinea-Bissau,"3,680",,66 ,,"3,069",545,9,"60,281","2,004,008"
Eritrea,"3,466",,10 ,,"3,196",260,,"23,693","3,584,575"
Burundi,"3,154",,6 ,,773,"2,375",,"90,019","12,164,194"
Liechtenstein,"2,754",,56 ,,"2,625",73,5,"32,252","38,213"
Vietnam,"2,707",+2,35 ,,"2,445",227,,"2,598,753","98,020,700"
New Zealand,"2,587",+4,26 ,,"2,459",102,,"1,948,223","5,002,100 "
Monaco,"2,377",,31 ,,"2,247",99,6,"51,953","39,459"
Turks and Caicos,"2,357",,17 ,,"2,283",57,2,"41,059","39,124"
Sao Tome and Principe,"2,267",,35 ,,"2,188",44,,"12,597","222,316"
Sint Maarten,"2,185",,27 ,,"2,118",40,1,"25,304","43,255"
Liberia,"2,042",,85 ,,"1,899",58,2,"79,684","5,149,709"
Bermuda,"1,891",,16 ,,998,877,36,"217,688","62,098"
St. Vincent Grenadines,"1,806",,10 ,,"1,665",131,2,"43,985","111,215"
Saint Martin,"1,693",,12 ,,"1,399",282,7,"26,385","39,178"
Isle of Man,"1,574",,29 ,,"1,445",100,,"44,761","85,384"
Caribbean Netherlands,"1,519",,14 ,,"1,396",109,,"10,011","26,413"
Antigua and Barbuda,"1,198",,30 ,,938,230,45,"16,493","98,561"
Mauritius,"1,197",+4,15 ,,797,385,,"358,675","1,273,416"
Taiwan,"1,062",+4,11 ,,"1,027",24,,"513,203","23,850,438"
Timor-Leste,"1,046",,1 ,,550,495,,"50,556","1,337,923"
Bhutan,921,,1 ,,875,45,,"652,722","778,220"
St. Barth,907,,1 ,,462,444,,"26,385","9,901"
Faeroe Islands,661,,1 ,,660,0,,"246,793","49,008"
Cayman Islands,516,,2 ,,487,27,,"84,802","66,322"
Tanzania,509,,21 ,,183,305,7,,"61,048,540"
Wallis and Futuna,437,,5 ,,44,388,3,"1,331","11,084"
Brunei ,219,,3 ,,206,10,,"116,596","440,741"
British Virgin Islands,178,,1 ,,159,18,,"13,223","30,388"
Dominica,165,, ,,159,6,,"13,500","72,126"
Grenada,155,,1 ,,152,2,,"23,989","112,930"
New Caledonia,121,, ,,58,63,,"29,182","287,635"
Fiji,68,,2 ,,64,2,,"40,300","901,508"
Falkland Islands,60,, ,,54,6,,"7,165","3,558"
Laos,52,, ,,49,3,,"143,481","7,357,605"
Macao,49,, ,,48,1,,"4,418","656,216"
Saint Kitts and Nevis,44,, ,,44,0,,"12,381","53,492"
Greenland,31,, ,,31,0,,"20,669","56,847"
Vatican City,27,, ,,15,12,,,803
Anguilla,25,, ,,22,3,,"14,579","15,107"
Saint Pierre Miquelon,24,, ,,24,0,,"5,126","5,772"
Montserrat,20,,1 ,,19,0,,"1,313","4,994"
Solomon Islands,19,, ,,18,1,,"4,500","699,918"
Western Sahara,10,,1 ,,8,1,,,"608,703"
Marshall Islands,4,, ,,4,0,,,"59,501"
Samoa,3,, ,,2,1,,,"199,442"
Vanuatu,3,, ,,1,2,,470,"312,702"
Micronesia,1,, ,,1,0,,,"115,962"
China,"90,435",+9,"4,636 ",,"85,506",293,4,"160,000,000","1,439,323,776 "
